,subject,type,metric,popsd,sampsize,popmean,sampmean,z,p,p≤0.05,p≤0.005,p≤0.0005,p≤0.00005,Positive?
0,eng,None,Composite ACT,4.568623777226112,254,24.043912175648703,23.52755905511811,-1.8012677298284452,0.0358303457777234,True,False,False,False,False
1,eng,None,English ACT,5.8674127317933324,254,24.067864271457086,23.37795275590551,-1.8739742256784553,0.03046698884600783,True,False,False,False,False
2,eng,None,Math ACT,4.851497679371729,254,22.882235528942115,22.54724409448819,-1.1004611949584864,0.13556561410542278,False,False,False,False,False
3,eng,None,Science ACT,4.779078392380357,254,23.65868263473054,23.409448818897637,-0.8311505002078918,0.20294430707831101,False,False,False,False,False
4,eng,None,Last GPA,0.5668297576165395,254,3.7119560878243516,3.5511023622047246,-4.52267458628188,3.0531541345929033e-06,True,True,True,True,False
5,eng,None,English Avg,7.236619252974215,254,83.19081836327345,79.8527559055118,-7.351493768427437,9.800195302661087e-14,True,True,True,True,False
6,eng,None,Math Avg,7.575285658571098,254,85.60878243512974,84.42401574803148,-2.4925890235848884,0.006340776782139886,True,False,False,False,False
7,eng,None,Science Avg,6.372395295577668,254,85.98203592814372,83.70905511811023,-5.684731004118291,6.550935834869651e-09,True,True,True,True,False
8,eng,Prep Courses,Composite ACT,4.568623777226112,118,24.043912175648703,21.033898305084747,-7.156886087752358,4.1265109716940354e-13,True,True,True,True,False
9,eng,Prep Courses,English ACT,5.8674127317933324,118,24.067864271457086,20.033898305084747,-7.468383221829662,4.059305923594554e-14,True,True,True,True,False
10,eng,Prep Courses,Math ACT,4.851497679371729,118,22.882235528942115,20.364406779661017,-5.637562424108108,8.623704595791572e-09,True,True,True,True,False
11,eng,Prep Courses,Science ACT,4.779078392380357,118,23.65868263473054,21.127118644067796,-5.7542106808378035,4.352377185241379e-09,True,True,True,True,False
12,eng,Prep Courses,Last GPA,0.5668297576165395,118,3.7119560878243516,3.517711864406779,-3.722515150829789,9.862403440719625e-05,True,True,True,False,False
13,eng,Prep Courses,English Avg,7.236619252974215,118,83.19081836327345,83.0584745762712,-0.19865927131495925,0.421264642858979,False,False,False,False,False
14,eng,Prep Courses,Math Avg,7.575285658571098,118,85.60878243512974,82.66016949152544,-4.228241231225993,1.1776259655959954e-05,True,True,True,True,False
15,eng,Prep Courses,Science Avg,6.372395295577668,118,85.98203592814372,85.59322033898304,-0.6627991831486315,0.25372958843395965,False,False,False,False,False
16,eng,AP English,Composite ACT,4.568623777226112,45,24.043912175648703,28.333333333333332,6.298245003574502,1.505172192035616e-10,True,True,True,True,True
17,eng,AP English,English ACT,5.8674127317933324,45,24.067864271457086,29.711111111111112,6.45191541353549,5.522261139798306e-11,True,True,True,True,True
18,eng,AP English,Math ACT,4.851497679371729,45,22.882235528942115,26.77777777777778,5.386396853072586,3.5942075416749414e-08,True,True,True,True,True
19,eng,AP English,Science ACT,4.779078392380357,45,23.65868263473054,27.11111111111111,4.846037746284731,6.297578153417516e-07,True,True,True,True,True
20,eng,AP English,Last GPA,0.5668297576165395,45,3.7119560878243516,4.171777777777777,5.441806163749066,2.6371524440638242e-08,True,True,True,True,True
21,eng,AP English,English Avg,7.236619252974215,45,83.19081836327345,88.91555555555557,5.306718953053802,5.580803462658944e-08,True,True,True,True,True
22,eng,AP English,Math Avg,7.575285658571098,45,85.60878243512974,91.23555555555556,4.982721876767097,3.1348017508195867e-07,True,True,True,True,True
23,eng,AP English,Science Avg,6.372395295577668,45,85.98203592814372,90.35333333333334,4.6016533945983165,2.095751479759148e-06,True,True,True,True,True
24,eng,AP English|Honors English|Prep Course,Composite ACT,4.568623777226112,27,24.043912175648703,28.037037037037038,4.541605182309625,2.791376017724098e-06,True,True,True,True,True
25,eng,AP English|Honors English|Prep Course,English ACT,5.8674127317933324,27,24.067864271457086,29.0,4.367875618518684,6.273045260023692e-06,True,True,True,True,True
26,eng,AP English|Honors English|Prep Course,Math ACT,4.851497679371729,27,22.882235528942115,25.555555555555557,2.863235077287821,0.0020966966043954273,True,True,False,False,True
27,eng,AP English|Honors English|Prep Course,Science ACT,4.779078392380357,27,23.65868263473054,27.25925925925926,3.914801853954765,4.523924029049936e-05,True,True,True,True,True
28,eng,AP English|Honors English|Prep Course,Last GPA,0.5668297576165395,27,3.7119560878243516,4.3892592592592585,6.208866891457792,2.6684000827330997e-10,True,True,True,True,True
29,eng,AP English|Honors English|Prep Course,English Avg,7.236619252974215,27,83.19081836327345,91.9074074074074,6.25882386458285,1.939458310626111e-10,True,True,True,True,True
30,eng,AP English|Honors English|Prep Course,Math Avg,7.575285658571098,27,85.60878243512974,91.43333333333332,3.995262439593265,3.2311313833826076e-05,True,True,True,True,True
31,eng,AP English|Honors English|Prep Course,Science Avg,6.372395295577668,27,85.98203592814372,92.4074074074074,5.239350045019375,8.057156235848291e-08,True,True,True,True,True
32,eng,AP English|Prep Courses,Composite ACT,4.568623777226112,24,24.043912175648703,25.458333333333332,1.5166974943284042,0.06467153861334973,False,False,False,False,True
33,eng,AP English|Prep Courses,English ACT,5.8674127317933324,24,24.067864271457086,26.416666666666668,1.9611258446896251,0.024932172275818634,True,False,False,False,True
34,eng,AP English|Prep Courses,Math ACT,4.851497679371729,24,22.882235528942115,24.125,1.254927457760165,0.10475254763862579,False,False,False,False,True
35,eng,AP English|Prep Courses,Science ACT,4.779078392380357,24,23.65868263473054,23.708333333333332,0.05089637246522968,0.4797040480593801,False,False,False,False,True
