Team Blue,Team Red,BP1_PLAYER,BP2_PLAYER,BP3_PLAYER,BP4_PLAYER,BP5_PLAYER,RP1_PLAYER,RP2_PLAYER,RP3_PLAYER,RP4_PLAYER,RP5_PLAYER,BP1,BP2,BP3,BP4,BP5,RP1,RP2,RP3,RP4,RP5,BP1_HI,BP2_HI,BP3_HI,BP4_HI,BP5_HI,RP1_HI,RP2_HI,RP3_HI,RP4_HI,RP5_HI,BP1_BI1,BP1_BI2,BP1_BI3,BP2_BI1,BP2_BI2,BP2_BI3,BP3_BI1,BP3_BI2,BP3_BI3,BP4_BI1,BP4_BI2,BP4_BI3,BP5_BI1,BP5_BI2,BP5_BI3,RP1_BI1,RP1_BI2,RP1_BI3,RP2_BI1,RP2_BI2,RP2_BI3,RP3_BI1,RP3_BI2,RP3_BI3,RP4_BI1,RP4_BI2,RP4_BI3,RP5_BI1,RP5_BI2,RP5_BI3,BP5_SCORE,BP4_SCORE,BP3_SCORE,BP2_SCORE,BP1_SCORE,RP5_SCORE,RP4_SCORE,RP3_SCORE,RP2_SCORE,RP1_SCORE,BP5_KILLS,BP4_KILLS,BP3_KILLS,BP2_KILLS,BP1_KILLS,BP5_ASSISTS,BP4_ASSISTS,BP3_ASSISTS,BP2_ASSISTS,BP1_ASSISTS,RP5_ASSISTS,RP4_ASSISTS,RP3_ASSISTS,RP2_ASSISTS,RP1_ASSISTS,RP5_KILLS,RP4_KILLS,RP3_KILLS,RP2_KILLS,RP1_KILLS,BP5_ATK,BP4_ATK,BP3_ATK,BP2_ATK,BP1_ATK,BP5_DEF,BP4_DEF,BP3_DEF,BP2_DEF,BP1_DEF,BP5_HEAL,BP4_HEAL,BP3_HEAL,BP2_HEAL,BP1_HEAL,RP5_HEAL,RP4_HEAL,RP3_HEAL,RP2_HEAL,RP1_HEAL,RP5_DEF,RP4_DEF,RP3_DEF,RP2_DEF,RP1_DEF,RP5_ATK,RP4_ATK,RP3_ATK,RP2_ATK,RP1_ATK,BP1_DEATHS,BP2_DEATHS,BP3_DEATHS,BP4_DEATHS,BP5_DEATHS,RP1_DEATHS,RP2_DEATHS,RP3_DEATHS,RP4_DEATHS,RP5_DEATHS,DRED1,DRED2,DRED3,ROTOM1,ROTOM2,ROTOM3,ZAPDOS,FinalScoreBlue,FinalScoreRed
No Show,Eternity,S4L-,우치하상타치,월론,1st_Blossom,앙팡!,세준,루이_Louis,박잼준,헤론,디벨_Divel,Dragonite,Tsareena,Aegislash,Snorlax,Hoopa,Greedent,Tsareena,Blissey,Wigglytuff,Dragonite,Full Heal,Full Heal,Potion,X Speed,Eject Button,Fluffy Tail,Full Heal,X Speed,Eject Button,Full Heal,Muscle Band,Razor Claw,Focus Band,Weakness Policy,Attack Weight,Focus Band,Focus Band,Muscle Band,Razor Claw,Focus Band,Muscle Band,Buddy Barrier,Muscle Band,Buddy Barrier,Focus Band,Focus Band,Buddy Barrier,Score Shield,Attack Weight,Focus Band,Weakness Policy,Buddy Barrier,Focus Band,Choice Specs,Buddy Barrier,Score Shield,Focus Band,Muscle Band,Focus Band,Razor Claw,96,144,169,166,161,100,76,85,106,136,2,5,3,2,7,7,7,7,7,8,5,2,5,0,3,1,1,0,6,0,44011,26978,44440,62985,84607,28554,49038,43208,35259,35460,16532,18248,16426,12296,14105,12709,9439,7945,21879,41021,32897,56418,49475,54898,69333,52524,34408,18914,57147,28526,2,2,2,2,0,4,4,3,5,3,BP3,RP3,,BP4,,,BP3,756,503
Eternity,No Show,세준,루이_Louis,박잼준,헤론,디벨_Divel,S4L-,우치하상타치,월론,1st_Blossom,앙팡!,Greedent,Tsareena,Blissey,Wigglytuff,Dragonite,Dragonite,Tsareena,Aegislash,Snorlax,Hoopa,Fluffy Tail,Full Heal,X Speed,Eject Button,Full Heal,Full Heal,Full Heal,Potion,X Speed,Eject Button,Focus Band,Buddy Barrier,Score Shield,Attack Weight,Focus Band,Weakness Policy,Buddy Barrier,Focus Band,Choice Specs,Buddy Barrier,Score Shield,Focus Band,Muscle Band,Focus Band,Razor Claw,Muscle Band,Razor Claw,Focus Band,Weakness Policy,Attack Weight,Focus Band,Focus Band,Muscle Band,Razor Claw,Focus Band,Muscle Band,Buddy Barrier,Muscle Band,Buddy Barrier,Focus Band,65,13,76,12,7,100,100,122,191,161,6,3,4,4,2,5,10,10,12,4,6,6,5,4,3,4,1,1,3,3,64666,48390,36498,65093,33659,34210,59731,41774,44673,75506,15135,9609,10227,20787,40924,19174,17178,21855,22390,16567,40632,58866,56617,42425,49766,39948,31980,54013,68901,61052,4,2,2,2,2,4,3,6,4,2,,,,,,,,189,674
No Show,Eternity,S4L-,우치하상타치,월론,1st_Blossom,앙팡!,세준,루이_Louis,박잼준,헤론,디벨_Divel,Dragonite,Tsareena,Aegislash,Snorlax,Hoopa,Greedent,Lucario,Blastoise,Wigglytuff,Zeraora,Full Heal,X Attack,Potion,X Speed,Eject Button,Fluffy Tail,Fluffy Tail,Fluffy Tail,Eject Button,Fluffy Tail,Muscle Band,Razor Claw,Focus Band,Weakness Policy,Attack Weight,Focus Band,Focus Band,Muscle Band,Razor Claw,Focus Band,Muscle Band,Buddy Barrier,Muscle Band,Buddy Barrier,Focus Band,Focus Band,Buddy Barrier,Score Shield,Buddy Barrier,Focus Band,Weakness Policy,Buddy Barrier,Energy Amplifier,Sp. Atk Specs,Buddy Barrier,Score Shield,Focus Band,Muscle Band,Buddy Barrier,Focus Band,30,141,160,140,166,18,80,48,111,98,1,2,4,7,6,10,11,10,2,5,1,2,4,4,2,3,0,2,2,0,32552,32841,53775,64173,74847,19126,45103,54765,40624,45554,24595,19631,27926,18424,17907,9768,11898,2816,10699,40337,34454,63434,54060,29866,76374,42061,33745,59965,41610,27791,3,1,2,1,0,5,2,5,5,3,,RP1,,,,,BP4,677,355
